Frecuencia_Hz,Lext_dB,TL_dB,NivelInterior_dB,tau
50,72,26.06697590294625,45.93302409705375,0.002473445865424488
63,74,33.1019846099993,40.8980153900007,0.0004895550546366603
80,76,44.46783661665606,31.53216338334394,3.574508534574885e-05
100,78,52.35419424657576,25.64580575342424,5.815413165808226e-06
125,80,59.17089824575105,20.82910175424895,1.210347772970633e-06
160,82,66.03443896676362,15.96556103323638,2.492046279669771e-07
200,84,71.79495733086888,12.20504266913112,6.614610362608605e-08
250,86,77.13545254612329,8.86454745387671,1.933992321099101e-08
315,88,82.07534989619722,5.924650103802776,6.201046819297202e-09
400,89,86.10353986601882,2.896460133981179,2.452708936240625e-09
500,90,87.68016277511785,2.31983722488215,1.706018445626155e-09
630,91,78.35699403916522,12.64300596083478,1.459824325253641e-08
800,92,97.26685603128954,-5.266856031289535,1.876352355926292e-10
1000,93,108.0841206818698,-15.08412068186981,1.554489997249915e-11
1250,92,113.165630335471,-21.16563033547095,4.824329546079607e-12
1600,90,107.1526979388366,-17.15269793883664,1.926327861516275e-11
2000,88,108.4611852412405,-20.46118524124051,1.425218581437397e-11
2500,86,119.7596404766861,-33.75964047668606,1.056904999678353e-12
3150,84,120,-36,8.603380848708633e-13
4000,82,114.0419607356726,-32.04196073567262,3.94279254236723e-12
5000,80,120,-40,2.807462391609503e-14
